agents,utilities
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1-0.1-NST')","-1.0;1.0"
