agents,utilities
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","0.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-1.41421356237-MAST')","-1.0;1.0"
