agents,utilities
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-Random200' / 'MCTS-UCB1-0.6-Random0')","1.0;-1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
"('MCTS-UCB1-0.6-Random0' / 'MCTS-UCB1Tuned-0.6-Random200')","-1.0;1.0"
