agents,utilities
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-MAST' / 'Random')","1.0;-1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;0.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1Tuned-0.6-MAST')","0.0;0.0"
