agents,utilities
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
