agents,utilities
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-1.41421356237-MAST' / 'Random')","1.0;-1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","0.0;0.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","0.0;0.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","0.0;0.0"
"('Random' / 'MCTS-UCB1-1.41421356237-MAST')","-1.0;1.0"
